,X2,X3,X4,X5_Age_Bins,X6_Payment_Bins,X7_Payment_Bins,X8_Payment_Bins,X9_Payment_Bins,X10_Payment_Bins,X11_Payment_Bins,X12_sign,X12_monthlydif,X13_sign,X13_monthlydif,X14_sign,X14_monthlydif,X15_sign,X15_monthlydif,X16_sign,X16_monthlydif,X17_sign,X17_monthlydif,X18_binary,X19_binary,X20_binary,X21_binary,X22_binary,X23_binary
109,1,2,1,2,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
110,2,1,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,0
111,1,3,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
112,1,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,0,1
113,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
114,1,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
115,1,1,2,1,1,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,0,1,1
116,1,1,2,1,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
117,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
118,1,2,1,2,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
119,2,2,2,2,2,2,2,2,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
120,1,3,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
121,1,1,1,2,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
122,2,1,1,3,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
123,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
124,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
125,1,2,2,1,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
126,1,3,2,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
127,1,1,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
128,1,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
129,1,3,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
130,2,1,2,1,2,2,2,2,1,1,1,6,1,5,1,4,0,3,1,2,1,1,1,1,1,1,1,1
131,1,1,2,2,2,1,1,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,1,1
132,1,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
133,1,3,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
134,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,0,1,1,1,0,1,0,1
135,1,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,0,1
136,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
137,2,2,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
138,2,3,1,3,1,1,1,1,2,2,1,6,1,5,1,4,0,3,0,2,0,1,1,1,0,0,0,0
139,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
140,1,1,2,3,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
141,1,2,2,1,1,1,1,1,1,1,1,6,0,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
142,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
143,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
144,1,1,2,1,1,1,1,1,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
145,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
146,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
147,1,1,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
148,2,2,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,0,1,1,1
149,2,1,1,3,2,2,1,1,1,1,0,6,0,5,1,4,0,3,1,2,1,1,0,1,0,1,1,0
150,1,2,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
151,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
152,1,1,2,2,2,1,1,1,1,2,1,6,1,5,1,4,1,3,0,2,0,1,1,1,1,0,0,0
153,2,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
154,2,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
155,1,1,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
156,2,1,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
157,2,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
158,1,3,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
159,1,3,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
160,1,1,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,0,1,1
161,1,2,2,1,2,1,1,1,1,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,0,1
162,1,3,1,3,1,1,1,1,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
163,2,1,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
164,2,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
165,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
166,1,1,2,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
167,1,2,1,1,1,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,0,1,1,0,1,1,1,1
168,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
169,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
170,1,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
171,2,1,2,1,1,1,1,1,1,1,1,6,1,5,0,4,1,3,1,2,1,1,1,0,1,1,1,1
172,2,2,2,1,1,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
173,2,1,2,1,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
174,1,1,2,1,2,2,1,1,2,2,0,6,0,5,1,4,0,3,0,2,0,1,0,1,0,0,0,0
175,1,3,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,0,0
176,1,1,2,1,2,1,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
177,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,0,1
178,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
179,2,2,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
180,1,1,2,2,1,1,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,0,1,1
181,2,3,2,2,2,1,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
182,2,1,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
183,2,2,1,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
184,1,2,2,1,2,2,2,2,2,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
185,2,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,0,1,1
186,2,1,2,1,2,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
187,2,3,2,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,0,1
188,2,2,1,2,2,1,2,2,2,2,0,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
189,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,0,0,1,0
190,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
191,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
192,2,1,2,1,1,1,1,2,1,2,1,6,1,5,0,4,0,3,1,2,1,1,1,0,0,1,1,1
193,2,1,2,1,1,1,2,2,2,2,1,6,1,5,1,4,1,3,0,2,0,1,1,0,1,0,0,0
194,1,2,1,2,2,2,2,2,1,1,1,6,1,5,1,4,0,3,1,2,1,1,1,1,1,1,1,1
195,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,0
196,2,2,1,2,2,2,2,2,2,2,0,6,0,5,0,4,1,3,0,2,1,1,0,0,1,0,1,0
197,2,1,2,1,2,2,2,2,1,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
198,2,1,1,2,2,2,2,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
199,2,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,0,1,1,1,1,1,0,0
200,2,1,1,2,2,2,2,2,2,2,1,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
201,1,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,0,1
202,2,1,2,1,1,2,1,1,1,1,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
203,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
204,2,2,1,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
205,1,3,1,2,1,1,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
206,1,1,1,3,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,0,1,1,1,1,1,0,1
207,2,2,1,2,1,1,1,1,1,1,1,6,1,5,1,4,1,3,1,2,0,1,1,1,1,1,0,1
208,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
209,2,1,1,3,1,1,1,1,2,2,1,6,1,5,1,4,1,3,0,2,1,1,1,1,1,0,1,1
210,1,1,2,1,2,2,2,1,1,1,1,6,1,5,1,4,1,3,0,2,1,1,1,1,1,0,1,0
211,2,1,1,2,2,2,1,2,1,1,0,6,0,5,1,4,1,3,1,2,1,1,0,1,0,1,1,1
212,2,3,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
213,1,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,1,1
214,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,0,1,1,1
215,1,3,1,2,1,1,1,1,1,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,0,0
216,2,2,1,2,2,2,2,2,2,2,0,6,0,5,0,4,0,3,0,2,0,1,0,0,0,0,0,0
217,1,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
218,2,3,0,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
219,2,1,2,2,1,1,1,1,2,2,1,6,1,5,1,4,0,3,0,2,0,1,1,1,0,0,0,0
220,2,1,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,0,1,1,1,1
221,2,3,2,3,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
222,2,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
223,2,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
224,2,3,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,1,1,1
225,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
226,1,3,1,2,1,1,1,1,1,2,1,6,1,5,1,4,1,3,0,2,0,1,1,1,1,0,0,0
227,1,2,1,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
228,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
229,2,3,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,0,1,0,1,1,1,0,1
230,2,1,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,1,1,1
231,1,2,2,1,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,0,1,1,0,1,1
232,1,2,1,1,2,2,2,1,1,2,1,6,0,5,0,4,1,3,1,2,1,1,0,0,1,1,1,1
233,1,2,2,2,2,2,2,2,2,2,1,6,1,5,1,4,1,3,1,2,1,1,1,1,1,0,1,1
